timestamp,ftr_vector
313.0099999998603,[0.859123273919]
313.0199999998603,[1.20657508377]
313.0299999998603,[1.05280965239]
313.0399999998603,[0.83013081634]
313.0499999998603,[0.828781346464]
313.0599999998603,[0.816980291345]
313.0699999998603,[1.00368657714]
313.07999999986026,[0.677008661594]
313.08999999986025,[0.780685825645]
313.09999999986024,[0.800777828269]
313.10999999986024,[0.534025695377]
313.1199999998602,[0.726074628803]
313.1299999998602,[0.662016129106]
313.1399999998602,[0.629516148028]
313.1499999998602,[0.455106098109]
313.1599999998602,[0.487129205758]
313.1699999998602,[0.54406361055]
313.1799999998602,[0.484723839386]
313.18999999986016,[0.439730465512]
313.19999999986015,[0.323591773134]
313.20999999986014,[0.361420354911]
313.21999999986014,[0.160979026167]
313.2299999998601,[0.262682562052]
313.2399999998601,[0.324960978029]
313.2499999998601,[0.379016868945]
313.2599999998601,[0.389330826835]
313.2699999998601,[0.0545918426756]
313.2799999998601,[0.254523779531]
313.2899999998601,[0.046705446657]
313.29999999986006,[0.162274739164]
313.30999999986005,[0.205046474992]
313.31999999986004,[0.195130412361]
313.32999999986004,[0.151668070542]
313.33999999986,[0.0596703723537]
313.34999999986,[0.203651810162]
313.35999999986,[0.126734301829]
313.36999999986,[0.00944667801161]
313.37999999986,[0.0980216444884]
313.38999999986,[-0.00481600815743]
313.39999999986,[0.100041148126]
313.40999999985996,[0.177522530248]
313.41999999985995,[-0.0525429691695]
313.42999999985994,[0.0481227013331]
313.43999999985994,[-0.0138858948768]
313.4499999998599,[-0.0764328659836]
313.4599999998599,[0.0738627902611]
313.4699999998599,[-0.0335351854176]
313.4799999998599,[-0.0484634891771]
313.4899999998599,[0.0988138292431]
313.4999999998599,[-0.0457969841947]
313.5099999998599,[-0.0776416656175]
313.51999999985986,[0.0840660382424]
313.52999999985985,[-0.0700676459195]
313.53999999985984,[-0.0548605036719]
313.54999999985984,[0.00808986101312]
313.5599999998598,[0.0325752779571]
313.5699999998598,[-0.187551369692]
313.5799999998598,[-0.232918600529]
313.5899999998598,[0.00803507588237]
313.5999999998598,[-0.0664390750519]
313.6099999998598,[0.090884949557]
313.6199999998598,[0.04038049635]
313.62999999985976,[-0.0149679271007]
313.63999999985975,[0.0846809126648]
313.64999999985974,[0.104098120452]
313.65999999985974,[-0.0460024104014]
313.6699999998597,[0.140910021738]
313.6799999998597,[0.0893810153292]
313.6899999998597,[0.0825894379459]
313.6999999998597,[0.0324638991637]
313.7099999998597,[0.0632846661568]
313.7199999998597,[0.00405107756816]
313.7299999998597,[-0.0443845844637]
313.73999999985966,[-0.068670501404]
313.74999999985965,[-0.0872848754763]
313.75999999985964,[0.00915047372617]
313.76999999985964,[0.0681056416146]
313.7799999998596,[0.0270857706137]
313.7899999998596,[-0.00209320174905]
313.7999999998596,[0.0179554813345]
313.8099999998596,[-0.0439374219682]
313.8199999998596,[-0.0200555528691]
313.8299999998596,[-0.0611723426118]
313.8399999998596,[-0.121472261309]
313.84999999985956,[-0.0894220084011]
313.85999999985955,[-0.0527412125314]
313.86999999985954,[0.0683221493049]
313.87999999985954,[0.0775032681807]
313.8899999998595,[-0.0140350836213]
313.8999999998595,[0.0428814398543]
313.9099999998595,[0.0794422689553]
313.9199999998595,[-0.0473355111256]
313.9299999998595,[-0.131540283938]
313.9399999998595,[-0.0541496259065]
313.9499999998595,[-7.73516633159e-05]
313.95999999985946,[-0.043900309311]
313.96999999985945,[0.0435298394153]
313.97999999985944,[0.12435370246]
313.98999999985944,[-0.225934596896]
313.9999999998594,[-0.0727550037191]
